Latitude,Longitude,ID,Time,Locust,Soil_Moisture,Elevation,Soil_Temperature,Vegetation_Index
37.42277778,3.129444444,36147,2020-06-30,1,-1,-1,-1,-1
37.42277778,3.129444444,36155,2020-06-30,1,-1,-1,-1,-1
37.41333333,3.124444444,36168,2020-06-30,1,-1,-1,-1,-1
37.41694444,3.121111111,36169,2020-06-30,1,-1,-1,-1,-1
35.04444444,2.612222222,36170,2020-06-30,1,-1,-1,-1,-1
36.90694444,2.245555556,36171,2020-06-30,1,-1,-1,-1,-1
35.04527778,2.610833333,36176,2020-06-30,1,-1,-1,-1,-1
35.045,2.609166667,36177,2020-06-30,1,-1,-1,-1,-1
35.0375,2.606666667,36178,2020-06-30,1,-1,-1,-1,-1
35.03777778,2.606944444,36179,2020-06-30,1,-1,-1,-1,-1
37.41666667,3.121388889,36180,2020-06-30,1,-1,-1,-1,-1
36.72166667,2.751666667,36191,2020-06-30,1,-1,-1,-1,-1
34.7,2.716666667,36204,2020-06-30,1,-1,-1,-1,-1
73.53027778,27.18388889,36205,2020-06-30,1,-1,-1,-1,-1
73.57777778,27.26027778,36207,2020-06-30,1,-1,-1,-1,-1
35.0375,2.598055556,36218,2020-06-30,1,-1,-1,-1,-1
35.04388889,2.601944444,36219,2020-06-30,1,-1,-1,-1,-1
35.04416667,2.601388889,36220,2020-06-30,1,-1,-1,-1,-1
35.0425,2.600833333,36221,2020-06-30,1,-1,-1,-1,-1
35.0425,2.601111111,36222,2020-06-30,1,-1,-1,-1,-1
69.00722222,27.48027778,36229,2020-06-30,1,-1,-1,-1,-1
45.5325,9.534166667,36278,2020-06-30,1,-1,-1,-1,-1
45.53222222,9.533888889,36279,2020-06-30,1,-1,-1,-1,-1
44.07388889,9.503333333,36280,2020-06-30,1,-1,-1,-1,-1
45.46694444,9.577222222,36281,2020-06-30,1,-1,-1,-1,-1
45.46638889,9.576111111,36282,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.141666667,36554,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.141666667,36555,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.142777778,36556,2020-06-30,1,-1,-1,-1,-1
37.42333333,3.142222222,36557,2020-06-30,1,-1,-1,-1,-1
36.81416667,3.155277778,36558,2020-06-30,1,-1,-1,-1,-1
75.63194444,28.19194444,36562,2020-06-30,1,-1,-1,-1,-1
74.685,28.36722222,36563,2020-06-30,1,-1,-1,-1,-1
71.23222222,27.70611111,36564,2020-06-30,1,-1,-1,-1,-1
36.81388889,3.155277778,36576,2020-06-30,1,-1,-1,-1,-1
35.20277778,2.856944444,36577,2020-06-30,1,-1,-1,-1,-1
35.03444444,2.601666667,36578,2020-06-30,1,-1,-1,-1,-1
36.70833333,2.851388889,36589,2020-06-30,1,-1,-1,-1,-1
