Row,Latitude ,Longitude ,ID,Time,Locust,Soil_Moisture,Wind,Vegetation_Index,Humidity_D,Humidity_N,Elevation,Temperature_D,Temperature_N
148,37.34861111,24.78777778,22406,3/6/2019,1,#101825,#101825,#101825,#101825,#101825,#101825,#101825,#101825
149,37.39333333,25.02861111,22407,3/2/2019,1,#359a00,#0f1b29,#0f1b29,#0f1b29,#0f1b29,#0f1b29,#0f1b29,#0f1b29
150,47.01916667,16.94416667,22408,4/25/2019,1,#82c100,#4f5c31,#4f5c31,#4f5c31,#4f5c31,#00a245,#4f5c31,#4f5c31
151,44.49527778,16.31638889,22409,4/25/2019,1,#00a851,#243024,#243024,#243024,#243024,#c7d00b,#243024,#243024
152,44.19138889,15.54472222,22410,4/26/2019,1,#128800,#726f6a,#726f6a,#726f6a,#726f6a,#726f6a,#726f6a,#726f6a
153,45.83861111,14.99861111,22411,4/26/2019,1,#00cd9b,#8c928e,#8c928e,#8c928e,#8c928e,#00aa4a,#8c928e,#8c928e
154,44.79166667,16.15333333,22412,4/22/2019,1,#00ae5d,#3c442f,#3c442f,#3c442f,#3c442f,#25b840,#3c442f,#3c442f
155,49.35027778,16.13777778,22413,4/24/2019,1,#65b200,#e2e2e2,#e2e2e2,#e2e2e2,#e2e2e2,#64c82a,#e2e2e2,#e2e2e2
156,49.20194444,16.15055556,22414,4/24/2019,1,#188b00,#d8d9db,#d8d9db,#d8d9db,#d8d9db,#2bba3e,#d8d9db,#d8d9db
157,45.28333333,15.25027778,22415,4/24/2019,1,#00e3c7,#9da29b,#9da29b,#9da29b,#9da29b,#2ebb3d,#9da29b,#9da29b
158,45.64111111,15.03916667,22416,4/25/2019,1,#00d0a2,#2f3124,#2f3124,#2f3124,#2f3124,#c3d70b,#2f3124,#2f3124
159,48.92444444,16.03666667,22417,4/18/2019,1,#7dbe00,#3a3e2f,#3a3e2f,#3a3e2f,#3a3e2f,#15b446,#3a3e2f,#3a3e2f
160,59.72194444,27.11222222,22418,4/25/2019,1,#2d383e,#2d383e,#2d383e,#2d383e,#2d383e,#2d383e,#2d383e,#2d383e
161,44.24583333,17.53361111,22419,4/28/2019,1,#2a9400,#494738,#494738,#494738,#494738,#c1db0b,#494738,#494738
162,59.32666667,27.54055556,22420,4/25/2019,1,#128800,#3c433c,#3c433c,#3c433c,#3c433c,#007d2c,#3c433c,#3c433c
163,44.10888889,17.41194444,22421,4/27/2019,1,#068200,#707668,#707668,#707668,#707668,#7bce22,#707668,#707668
164,44.43027778,17.49444444,22422,4/28/2019,1,#00a44b,#e4e2e3,#e4e2e3,#e4e2e3,#e4e2e3,#c7d10b,#e4e2e3,#e4e2e3
165,44.74222222,17.54833333,22423,4/28/2019,1,#007dff,#c4cbc3,#c4cbc3,#c4cbc3,#c4cbc3,#09b14a,#c4cbc3,#c4cbc3
166,57.85305556,25.99666667,22424,4/22/2019,1,#008813,#87827f,#87827f,#87827f,#87827f,#008632,#87827f,#87827f
167,57.84666667,26.00083333,22425,4/22/2019,1,#008813,#9a9496,#9a9496,#9a9496,#9a9496,#008431,#9a9496,#9a9496
168,44.45,14.65166667,22426,5/1/2019,1,#008206,#15212d,#84dcd6,#44b7cf,#15212d,#15212d,#c5ff00,#9dff00
169,44.23333333,15.7,22427,5/1/2019,1,#009225,#2e8000,#b6f3e0,#39afc9,#2e8000,#1cb643,#d0ff00,#87ff00
