Latitude ,Longitude ,ID,Time,Locust,Soil_Moisture,Wind,Vegetation_Index,Humidity_D,Humidity_N,Elevation,Temperature_D,Temperature_N
44.80777778,25.45416667,22438,2019-05-05,1,-1,-1,-1,-1,-1,-1,-1,-1
45.31583333,25.00388889,22439,2019-05-08,1,-1,-1,-1,-1,-1,-1,-1,-1
44.79694444,25.0625,22440,2019-05-08,1,-1,-1,-1,-1,-1,-1,-1,-1
44.84833333,24.70305556,22441,2019-05-09,1,-1,-1,-1,-1,-1,-1,-1,-1
45.04638889,25.24916667,22442,2019-05-29,1,-1,-1,-1,-1,-1,-1,-1,-1
45.07,25.19277778,22443,2019-05-29,1,-1,-1,-1,-1,-1,-1,-1,-1
44.81166667,24.67416667,22444,2019-05-09,1,-1,-1,-1,-1,-1,-1,-1,-1
36.16666667,30.31666667,22445,2019-05-04,1,-1,-1,-1,-1,-1,-1,-1,-1
35.61666667,30.83333333,22446,2019-05-05,1,-1,-1,-1,-1,-1,-1,-1,-1
45.67694444,20.45222222,22447,2019-05-14,1,-1,-1,-1,-1,-1,-1,-1,-1
45.67694444,20.45222222,22448,2019-05-14,1,-1,-1,-1,-1,-1,-1,-1,-1
45.04861111,25.26861111,22449,2019-05-19,1,-1,-1,-1,-1,-1,-1,-1,-1
45.77416667,20.38055556,22450,2019-05-20,1,-1,-1,-1,-1,-1,-1,-1,-1
45.63805556,20.45277778,22451,2019-05-20,1,-1,-1,-1,-1,-1,-1,-1,-1
71.86111111,27.12111111,22452,2019-05-25,1,-1,-1,-1,-1,-1,-1,-1,-1
71.88861111,27.12861111,22453,2019-05-28,1,-1,-1,-1,-1,-1,-1,-1,-1
45.63805556,20.45277778,22454,2019-05-20,1,-1,-1,-1,-1,-1,-1,-1,-1
45.0475,25.26888889,22455,2019-05-16,1,-1,-1,-1,-1,-1,-1,-1,-1
45.25944444,20.4575,22456,2019-05-17,1,-1,-1,-1,-1,-1,-1,-1,-1
44.72916667,17.57027778,22457,2019-05-23,1,-1,-1,-1,-1,-1,-1,-1,-1
45.40055556,25.44694444,22458,2019-05-21,1,-1,-1,-1,-1,-1,-1,-1,-1
71.86055556,27.09194444,22459,2019-05-28,1,-1,-1,-1,-1,-1,-1,-1,-1
44.97055556,25.07444444,22460,2019-05-22,1,-1,-1,-1,-1,-1,-1,-1,-1
44.96777778,25.08972222,22461,2019-05-22,1,-1,-1,-1,-1,-1,-1,-1,-1
45.07694444,25.29277778,22462,2019-05-23,1,-1,-1,-1,-1,-1,-1,-1,-1
71.86111111,27.12111111,22463,2019-05-25,1,-1,-1,-1,-1,-1,-1,-1,-1
44.33333333,15.41666667,22464,2019-05-09,1,-1,-1,-1,-1,-1,-1,-1,-1
44.05,15.28333333,22465,2019-05-10,1,-1,-1,-1,-1,-1,-1,-1,-1
44.33333333,15.75,22466,2019-05-09,1,-1,-1,-1,-1,-1,-1,-1,-1
45.25583333,25.34277778,22467,2019-05-24,1,-1,-1,-1,-1,-1,-1,-1,-1
45.25583333,25.34277778,22468,2019-05-24,1,-1,-1,-1,-1,-1,-1,-1,-1
45.51222222,14.99472222,22469,2019-05-25,1,-1,-1,-1,-1,-1,-1,-1,-1
43.61972222,14.71472222,22470,2019-05-25,1,-1,-1,-1,-1,-1,-1,-1,-1
43.19555556,27.27027778,22471,2019-06-08,1,-1,-1,-1,-1,-1,-1,-1,-1
44.25,15.5,22472,2019-06-05,1,-1,-1,-1,-1,-1,-1,-1,-1
43.38333333,15.95,22473,2019-06-05,1,-1,-1,-1,-1,-1,-1,-1,-1
44.4,15.48333333,22474,2019-06-07,1,-1,-1,-1,-1,-1,-1,-1,-1
44.33333333,15.41666667,22475,2019-06-09,1,-1,-1,-1,-1,-1,-1,-1,-1
44.21666667,15.41666667,22476,2019-06-09,1,-1,-1,-1,-1,-1,-1,-1,-1
44.4,15.48333333,22477,2019-06-10,1,-1,-1,-1,-1,-1,-1,-1,-1
43.38333333,15.95,22478,2019-06-10,1,-1,-1,-1,-1,-1,-1,-1,-1
66.38972222,26.17333333,22479,2019-06-01,1,-1,-1,-1,-1,-1,-1,-1,-1
44.41666667,13.11666667,22480,2019-06-13,1,-1,-1,-1,-1,-1,-1,-1,-1
44.66666667,13.96666667,22481,2019-06-15,1,-1,-1,-1,-1,-1,-1,-1,-1
45.06666667,24.97444444,22482,2019-06-01,1,-1,-1,-1,-1,-1,-1,-1,-1
45.18333333,13.21666667,22483,2019-06-16,1,-1,-1,-1,-1,-1,-1,-1,-1
43.91805556,12.63666667,22484,2019-06-18,1,-1,-1,-1,-1,-1,-1,-1,-1
